id,name,score
1,Student1,1
2,Student2,2
3,Student3,3
4,Student4,4
5,Student5,5
6,Student6,6
7,Student7,7
8,Student8,8
9,Student9,9
10,Student0,10
11,Student1,11
12,Student2,12
13,Student3,13
14,Student4,14
15,Student5,15
16,Student6,16
17,Student7,17
18,Student8,18
19,Student9,19
20,Student0,20
21,Student1,21
22,Student2,22
23,Student3,23
24,Student4,24
25,Student5,25
26,Student6,26
27,Student7,27
28,Student8,28
29,Student9,29
30,Student0,30
31,Student1,31
32,Student2,32
33,Student3,33
34,Student4,34
35,Student5,35
36,Student6,36
37,Student7,37
38,Student8,38
39,Student9,39
40,Student0,40
41,Student1,41
42,Student2,42
43,Student3,43
44,Student4,44
45,Student5,45
46,Student6,46
47,Student7,47
48,Student8,48
49,Student9,49
50,Student0,50
51,Student1,51
52,Student2,52
53,Student3,53
54,Student4,54
55,Student5,55
56,Student6,56
57,Student7,57
58,Student8,58
59,Student9,59
60,Student0,60
61,Student1,61
62,Student2,62
63,Student3,63
64,Student4,64

65,Student5,65
66,Student6,66
67,Student7,67
68,Student8,68
69,Student9,69
70,Student0,70
71,ERROR71,71
72,Student2,72
73,Student3,73
74,Student4,74
75,Student5,75
76,Student6,76
77,Student7,77
78,Student8,78
79,Student9,79
80,Student0,80
81,Student1,81
82,Student2,82
83,Student3,83
84,Student4,84
85,Student5,85
86,Student6,86
87,Student7,87
88,Student8,88
89,Student9,89
90,Student0,90
91,Student1,91
92,Student2,92
93,Student3,93
94,Student4,94
95,Student5,95
96,Student6,96
97,Student7,97
98,Student8,98
99,Student9,99
100,Student0,0
