name,subject,score
Alice,Math,85
Alice,English,92
Alice,Science,78
Alice,History,88
Bob,Math,59
Bob,English,63
Bob,Science,70
Bob,History,55
Charlie,Math,91
Charlie,English,89
Charlie,Science,95
Charlie,History,87
David,Math,72
David,English,68
David,Science,74
David,History,80
Emma,Math,88
Emma,English,90
Emma,Science,85
Emma,History,93
Frank,Math,40
Frank,English,55
Frank,Science,60
Frank,History,50
Grace,Math,96
Grace,English,97
Grace,Science,92
Grace,History,94
Hannah,Math,83
Hannah,English,85
Hannah,Science,79
Hannah,History,81
Ian,Math,66
Ian,English,70
Ian,Science,72
Ian,History,65
Julia,Math,78
Julia,English,82
Julia,Science,75
Julia,History,80
Kevin,Math,58
Kevin,English,62
Kevin,Science,55
Kevin,History,60
Lily,Math,90
Lily,English,88
Lily,Science,91
Lily,History,86
Mike,Math,73
Mike,English,75
Mike,Science,70
Mike,History,77
Nina,Math,95
Nina,English,98
Nina,Science,97
Nina,History,99
Oscar,Math,68
Oscar,English,72
Oscar,Science,70
Oscar,History,69
Paul,Math,82
Paul,English,79
Paul,Science,85
Paul,History,88
Queen,Math,100
Queen,English,99
Queen,Science,98
Queen,History,100
Ray,Math,44
Ray,English,50
Ray,Science,48
Ray,History,52
Sara,Math,85
Sara,English,89
Sara,Science,87
Sara,History,84
Tom,Math,63
Tom,English,66
Tom,Science,60
Tom,History,68
Uma,Math,92
Uma,English,90
Uma,Science,91
Uma,History,89
Victor,Math,79
Victor,English,75
Victor,Science,80
Victor,History,82
Wendy,Math,88
Wendy,English,86
Wendy,Science,90
Wendy,History,84
Xavier,Math,71
Xavier,English,68
Xavier,Science,73
Xavier,History,75
Yvonne,Math,94
Yvonne,English,96
Yvonne,Science,95
Yvonne,History,93
Zack,Math,57
Zack,English,61
Zack,Science,59
Zack,History,55
